real_name,TR1,STOR1
BASE,9.85464,0.000111711
20,10.126,0.000124434
13,8.44857,0.000181765
31,9.64347,0.000122484
15,9.63108,0.000109398
32,11.2384,0.000118501
17,13.3635,7.44184e-05
33,10.0433,7.47344e-05
35,9.4266,7.1747e-05
42,8.40875,0.000177394
25,11.2731,6.46627e-05
22,13.2449,5.92715e-05
36,11.1659,0.000111999
1,10.4605,5.25403e-05
38,9.55075,7.79477e-05
0,11.3946,9.05019e-05
2,14.8995,1.63561e-05
3,6.81937,0.000465974
4,9.72877,0.000108332
5,12.0986,5.51376e-05
6,16.028,2.17466e-05
7,7.91779,0.000249762
8,9.67608,9.21413e-05
9,10.2973,0.00017422
10,11.3246,7.17302e-05
11,10.065,0.000119183
12,10.7733,0.000118064
14,6.34461,0.000405004
16,7.47877,0.000211077
18,11.4607,6.53002e-05
19,11.8231,4.63646e-05
21,7.95712,0.000210003
23,10.8491,0.000104179
24,6.37033,0.000510824
26,8.90045,0.000120978
27,9.33768,0.000153191
28,11.6105,7.42073e-05
29,8.1512,0.000159539
30,11.8508,5.22448e-05
34,9.13057,0.000101402
37,8.82397,0.000205586
39,10.29,0.000100633
40,12.1417,3.25797e-05
41,12.2246,6.99736e-05
43,8.91036,9.10664e-05
44,8.62484,0.000132895
45,11.2734,7.72936e-05
46,12.9851,4.02246e-05
47,13.3294,2.79428e-05
48,9.2008,0.000100185
