real_name,TR1,STOR1
BASE,9.78259,0.000129959
20,9.94062,0.000147071
17,12.1251,0.000119032
33,10.1678,9.34772e-05
35,8.20258,0.000107542
42,8.48284,0.000182459
25,9.57825,0.000110553
22,12.3862,9.35638e-05
36,10.4992,0.000153755
1,10.6215,6.58321e-05
38,11.5189,6.03447e-05
0,10.8058,0.000126017
2,13.9621,3.48592e-05
3,6.32819,0.00052392
4,8.58809,0.000163822
5,11.4775,7.01446e-05
6,14.0673,5.16887e-05
7,8.13506,0.00022758
8,9.11775,0.000131764
9,11.344,0.000275063
10,11.1917,7.44366e-05
11,10.1171,0.000133874
12,10.4806,0.000136859
13,8.59366,0.000184701
14,6.64003,0.000354977
15,10.3885,0.000103011
16,4.96955,0.00108683
18,11.5738,7.8169e-05
19,11.8425,6.57297e-05
21,8.62588,0.000175465
23,10.3131,0.000139679
24,6.0349,0.000566916
26,5.62456,0.000503966
27,9.52905,0.000155103
28,11.2354,0.000100363
29,8.63223,0.000154897
30,12.3276,3.15008e-05
31,9.76149,0.000135623
32,15.0954,6.8859e-05
34,8.38793,0.000132588
37,8.79072,0.000207644
39,10.8786,7.38095e-05
40,19.6201,1e-05
41,11.4833,0.000120264
43,9.75243,9.1867e-05
44,8.83613,0.000129945
45,11.077,0.000101826
46,12.8608,5.3326e-05
47,12.7981,5.03483e-05
48,9.8039,0.00010165
