real_name,TR1,STOR1
25,9.97739,0.00633988
BASE,5.83982,0.000995845
22,10.9136,0.00116867
36,6.19396,0.00146149
1,5.9364,0.000708419
38,4.60688,0.00438512
0,5.79304,0.00156106
2,7.5633,0.000763898
3,10.8874,0.00175187
4,29.2907,0.000722062
5,39.7795,0.000247961
6,12.6734,0.000863188
7,2.9743,0.00384728
8,78.4435,0.000545952
9,95.0802,0.000949661
10,33.6073,0.000178042
11,6.55077,0.00159581
12,4.29189,0.00526258
13,12.4424,0.000796189
14,5.17532,0.00107445
15,2.54634,0.00567976
16,49.8481,0.00620347
17,4.21494,0.00530034
18,4.71892,0.00587522
19,10.2146,0.00130569
20,12.9112,0.000693478
21,6.95413,0.00147565
23,5.07152,0.00226193
24,2.73988,0.00327028
26,28.0398,0.00734042
27,7.39577,0.00171686
28,8.22114,0.000712502
29,7.70588,0.000491569
30,43.1458,1.92804e-05
31,6.87063,0.00105885
32,127.942,0.000146719
33,13.4963,0.000533823
34,19.7516,0.00128964
35,37.5256,0.000610524
37,4.09951,0.00350953
39,12.0903,3.71026e-05
40,242.483,1e-05
41,46.4156,0.00104359
42,3.9811,0.00206854
43,5.82791,0.00107399
44,2.29844,0.00364558
45,8.71327,0.00106517
46,12.1282,0.000230284
47,6.14173,0.0013064
48,12.7084,0.000827101
