real_name,TR1,STOR1
1,3.50168,0.00858054
25,28.5148,0.0718581
38,11.1719,0.0686241
BASE,5.35141,0.0077418
0,3.52983,0.01091
2,2.93336,0.0108752
3,0.926566,0.014864
4,99.8698,0.00736307
5,135.405,0.00210828
6,1.20777,0.022653
7,1.29423,0.0661716
8,1.57746,0.00144365
9,1.04362,0.00348248
10,91.6637,0.00170667
11,1.58804,0.0167804
12,4.26385,0.0704207
13,2.26938,0.00445186
14,3.64439,0.00363905
15,4.19869,0.0714836
16,238.203,0.0598072
17,2.89734,0.0720457
18,9.37398,0.0710079
19,19.4688,0.018981
20,33.1233,0.00550306
21,0.745411,0.0437954
22,1.33544,0.0208156
23,1.3858,0.0331211
24,3.73362,0.0118098
26,128.155,0.0724239
27,0.789441,0.0440862
28,4.58796,0.00485749
29,4.16296,0.00287744
30,124.81,0.00013789
31,13.8042,0.00891286
32,354.031,0.00136115
33,42.7713,0.00557029
34,76.5768,0.0150948
35,0.924445,0.00626739
36,3.8436,0.00804798
37,9.48311,0.0221273
39,11.3113,1.15797e-05
40,924.924,5.85132e-05
41,106.32,0.0142045
42,5.36177,0.0188658
43,0.883737,0.0481452
44,1.93209,0.0577271
45,2.01929,0.0105876
46,15.644,0.00202965
47,1.32595,0.0476433
48,1.08328,0.0120378
