real_name,TR1,STOR1
BASE,7.17751,0.0003033
20,7.19077,0.000363574
35,9.02624,0.000273884
42,5.90256,0.000483496
25,4.78336,0.00156722
22,8.15876,0.000347227
36,7.2855,0.000439679
1,7.5105,0.00016552
38,3.91771,0.000775516
0,7.23292,0.000397241
2,8.71742,0.00013933
3,4.57142,0.00150267
4,8.86068,0.000387735
5,13.5437,0.000118977
6,9.27551,0.000221552
7,5.16631,0.000756245
8,16.9988,0.000255529
9,23.5046,0.000518923
10,12.1497,9.63878e-05
11,6.14567,0.00048333
12,4.89223,0.00107204
13,5.73818,0.00050232
14,5.16225,0.000609888
15,4.85309,0.000660278
16,9.37904,0.0035634
17,5.97734,0.000864579
18,4.41865,0.0010235
19,6.48086,0.000334218
21,4.8942,0.000641632
23,6.37578,0.000530212
24,5.31915,0.000957202
26,6.70601,0.00316409
27,5.56445,0.000624587
28,8.02525,0.000257254
29,6.20172,0.000280442
30,15.4618,1.60088e-05
31,6.43688,0.000377284
32,32.7474,8.43835e-05
33,6.54148,0.000255714
34,6.17308,0.000586541
37,5.01433,0.000909677
39,11.7342,5.03297e-05
40,52.2214,1e-05
41,14.9436,0.000375625
43,5.62829,0.000291744
44,6.83191,0.000324142
45,6.95923,0.000342649
46,9.96256,0.000103777
47,7.50889,0.000216522
48,5.73079,0.000366523
