iteration,total_runs,obs_realization,par_realization,DD,TR,STOR
2,342,BASE,BASE,15.4768,0.00290989,1.00362
3,488,0,0,4.82491,0.0754363,2.35769
3,488,1,1,5.23539,2.25161,5.02566
3,488,2,2,0.800981,0.165965,4.07906
3,488,3,3,24.7349,0.634904,1.25828
3,488,4,4,8.19393,0.733881,2.02118
3,488,5,5,12.3599,0.686172,1.89805
3,488,6,6,2.57975,1.59804,5.36018
3,488,7,7,17.423,0.405316,4.50007
3,488,8,8,43.0391,1.57312,0.934243
3,488,9,9,83.799,2.03477,0.555198
3,488,10,10,4.21517,0.505163,1.92383
3,488,11,11,8.96827,0.307214,2.74016
3,488,12,12,20.5991,0.0129359,3.88006
3,488,13,13,12.2066,0.175432,1.0234
3,488,14,14,18.4542,1.87764,0.0241495
3,488,15,15,23.2145,0.00261796,4.75359
3,488,16,16,67.1056,1.28999,1.8864
3,488,17,17,13.5614,0.0932109,4.25678
3,488,18,18,27.717,0.0578122,3.95976
3,488,19,19,7.35873,0.122059,3.6669
3,488,20,20,4.32156,0.269879,1.7194
3,488,21,21,22.7235,1.82722,4.80799
3,488,22,22,4.42913,0.614625,3.722
3,488,23,23,8.23599,0.444687,3.77931
3,488,24,24,16.7361,0.0156726,1.36512
3,488,25,25,23.4433,0.408883,3.25755
3,488,26,26,44.12,1.14206,2.24925
3,488,27,27,13.4659,1.94976,4.85941
3,488,28,28,1.9969,2.32126,2.97919
3,488,29,29,11.9856,1.41694,0.0263962
3,488,30,30,3.88648,0.53581,1.11469
3,488,31,31,7.25079,2.09364,0.0267679
3,488,32,32,79.321,0.688075,1.81139
3,488,33,33,9.06029,0.437554,2.18876
3,488,34,34,9.52764,0.829938,2.42841
3,488,35,35,4.04285,1.54425,2.20809
3,488,36,36,5.69409,2.22,3.04885
3,488,37,37,19.0694,0.0586707,2.23863
3,488,38,38,49.824,0.129559,4.45383
3,488,39,39,0.633187,0.000574305,0.492557
3,488,40,40,92.8719,1.09651,0.819003
3,488,41,41,40.8426,0.455692,3.01235
3,488,42,42,10.7685,0.0034674,2.95991
3,488,43,43,21.3894,1.25951,6.42622
3,488,44,44,5.23848,0.25868,5.83397
3,488,45,45,4.69976,0.223801,2.53199
3,488,46,46,0.00469795,0.0220141,2.00034
3,488,47,47,3.16336,0.602081,6.48592
3,488,48,48,15.0443,0.5249,2.68984
3,488,BASE,BASE,3.83902,0.0157761,2.30471
4,634,0,0,2.11806,0.171506,4.13757
4,634,1,1,0.348964,2.62747,6.98129
4,634,2,2,3.19446,0.326083,6.87171
4,634,3,3,8.33113,0.827721,2.49428
4,634,4,4,0.73177,0.7526,3.22506
4,634,5,5,0.716629,0.784756,2.58298
4,634,6,6,5.71709,1.98482,8.6865
4,634,7,7,1.52098,0.631053,6.98474
4,634,8,8,0.280663,1.07706,0.460933
4,634,9,9,14.5186,1.37674,1.04201
4,634,10,10,0.468778,0.54654,2.24777
4,634,11,11,0.87867,0.529195,4.89688
4,634,12,12,1.83385,0.143216,8.20092
4,634,13,13,0.784787,0.312671,2.09132
4,634,14,14,6.12827,2.12499,0.152452
4,634,15,15,0.267284,0.0995985,8.92285
4,634,16,16,19.928,1.83995,3.56895
4,634,17,17,6.16626,0.303654,8.55174
4,634,18,18,1.24921,0.00885621,9.65323
4,634,19,19,1.12319,0.0195778,6.8706
4,634,20,20,1.05685,0.165639,2.90472
4,634,21,21,0.696667,2.39829,7.59449
4,634,22,22,4.78402,0.863101,6.24377
4,634,23,23,1.55228,0.695444,6.36736
4,634,24,24,9.97242,0.0285787,1.94844
4,634,25,25,0.081316,0.158561,8.74048
4,634,26,26,13.4314,1.27639,5.27896
4,634,27,27,0.659317,2.50665,7.89262
4,634,28,28,1.74752,2.69115,4.55746
4,634,29,29,0.726251,1.70366,0.00908778
4,634,30,30,1.47523,0.657225,0.58038
4,634,31,31,0.401222,2.53323,0.0788083
4,634,32,32,12.3951,1.20685,2.05686
4,634,33,33,0.00775839,0.258305,3.67295
4,634,34,34,2.09578,0.6472,4.85818
4,634,35,35,5.34737,1.46273,3.57948
4,634,36,36,2.81648,2.61445,4.85057
4,634,37,37,1.24404,0.0022251,4.57007
4,634,38,38,0.519536,0.00021786,10.3643
4,634,39,39,0.187925,5.48045e-06,0.753619
4,634,40,40,11.6673,1.92449,0.819003
4,634,41,41,3.86564,0.587616,4.97394
4,634,42,42,0.856282,0.0341825,4.59531
4,634,43,43,0.281959,1.72467,9.2224
4,634,44,44,0.762858,0.357582,7.90923
4,634,45,45,1.44416,0.40267,4.48682
4,634,46,46,2.43873,0.00355862,2.90189
4,634,47,47,2.06163,0.923896,10.1141
4,634,48,48,0.0378325,0.830008,4.8271
4,634,BASE,BASE,0.283798,0.0543763,3.55773
5,780,0,0,1.75596,0.181492,4.5055
5,780,1,1,1.14617,2.60741,7.27109
5,780,2,2,3.06103,0.342373,7.90563
5,780,3,3,6.41121,0.868868,2.67796
5,780,4,4,0.0805094,0.693758,3.72873
5,780,5,5,1.02092,0.760806,2.80551
5,780,6,6,6.21271,2.06961,10.029
5,780,7,7,1.85901,0.619434,6.82076
5,780,8,8,0.251316,1.10782,0.331836
5,780,9,9,6.55175,1.29948,1.2104
5,780,10,10,0.579171,0.539912,2.29377
5,780,11,11,0.469924,0.525286,5.01784
5,780,12,12,1.71347,0.148663,8.44928
5,780,13,13,0.943829,0.304706,2.07205
5,780,14,14,7.50252,2.08515,0.113854
5,780,15,15,0.0224329,0.0856115,8.72331
5,780,16,16,6.29691,1.57338,5.89793
5,780,17,17,6.4854,0.330757,9.33109
5,780,18,18,0.666907,0.00799479,9.90856
5,780,19,19,0.647552,0.0202781,7.33338
5,780,20,20,0.7181,0.162434,3.06084
5,780,21,21,1.5615,2.32208,7.19611
5,780,22,22,4.50975,0.894349,6.87832
5,780,23,23,1.21296,0.713551,6.76319
5,780,24,24,8.28137,0.0340623,2.07645
5,780,25,25,0.223539,0.124195,9.77613
5,780,26,26,1.80557,0.98787,8.05204
5,780,27,27,0.493205,2.48697,7.88302
5,780,28,28,1.3263,2.71513,4.9064
5,780,29,29,1.73246,1.65227,0.00421597
5,780,30,30,0.860218,0.671978,0.396154
5,780,31,31,0.154693,2.51646,0.0906136
5,780,32,32,4.64797,1.37951,1.59687
5,780,33,33,0.320145,0.266718,3.84825
5,780,34,34,1.18987,0.607892,5.27099
5,780,35,35,2.77273,1.5664,4.13482
5,780,36,36,2.4844,2.65987,5.2367
5,780,37,37,1.2423,0.00220858,4.57217
5,780,38,38,0.987614,0.00169643,9.71419
5,780,39,39,0.100361,0.000214839,0.902117
5,780,40,40,2.3092,2.27963,0.349458
5,780,41,41,2.8363,0.564077,5.6572
5,780,42,42,0.980919,0.0326856,4.59933
5,780,43,43,2.17803,1.64454,9.06288
5,780,44,44,1.02587,0.352177,7.89661
5,780,45,45,0.868307,0.406101,4.78768
5,780,46,46,1.98676,0.0032563,3.16311
5,780,47,47,1.69156,0.938523,11.0774
5,780,48,48,0.701428,0.792825,4.76768
5,780,BASE,BASE,0.0922726,0.0546561,3.70397
6,926,0,0,1.55121,0.187111,4.74313
6,926,1,1,1.73069,2.6103,7.50846
6,926,2,2,3.18676,0.352377,8.70268
6,926,3,3,6.38725,0.875654,2.65766
6,926,4,4,0.0251661,0.679299,3.90243
6,926,5,5,1.06961,0.752655,2.92995
6,926,6,6,6.14645,2.11461,11.0443
6,926,7,7,1.96395,0.616198,6.77286
6,926,8,8,0.381417,1.12035,0.274132
6,926,9,9,3.3313,1.29894,1.48625
6,926,10,10,0.558531,0.54049,2.29626
6,926,11,11,0.315701,0.52659,5.12286
6,926,12,12,1.58835,0.150551,8.5725
6,926,13,13,0.89319,0.30609,2.1115
6,926,14,14,7.73461,2.07915,0.111016
6,926,15,15,0.0598849,0.0836895,8.76746
6,926,16,16,3.43188,1.47486,6.76461
6,926,17,17,6.27018,0.342032,9.78638
6,926,18,18,0.552285,0.00822576,10.1448
6,926,19,19,0.726005,0.0197372,7.68819
6,926,20,20,0.553662,0.160455,3.15742
6,926,21,21,1.71614,2.31224,7.17048
6,926,22,22,4.07478,0.906912,7.27389
6,926,23,23,1.05867,0.725117,7.02627
6,926,24,24,8.05173,0.0352861,2.07681
6,926,25,25,0.371977,0.116685,10.1719
6,926,26,26,0.886958,0.941513,8.51059
6,926,27,27,0.420981,2.48438,7.92291
6,926,28,28,1.11544,2.72871,5.13452
6,926,29,29,1.92776,1.65205,0.00680723
6,926,30,30,0.708794,0.679632,0.293878
6,926,31,31,0.078755,2.5198,0.105612
6,926,32,32,2.92902,1.44259,1.4362
6,926,33,33,0.608723,0.262676,4.0549
6,926,34,34,1.15566,0.600645,5.38511
6,926,35,35,2.78766,1.58195,4.27549
6,926,36,36,2.28152,2.68408,5.47568
6,926,37,37,1.22357,0.00210307,4.58859
6,926,38,38,1.58584,0.00253409,9.66089
6,926,39,39,0.122022,0.000469479,1.00549
6,926,40,40,1.48187,2.41491,0.153697
6,926,41,41,2.21708,0.554767,6.07836
6,926,42,42,0.951679,0.0330648,4.64787
6,926,43,43,2.87757,1.64325,9.2455
6,926,44,44,1.22413,0.347596,7.85449
6,926,45,45,0.670383,0.410458,5.00832
6,926,46,46,1.75171,0.00317118,3.33406
6,926,47,47,1.81681,0.95126,11.8059
6,926,48,48,1.02287,0.790301,4.85486
6,926,BASE,BASE,0.0321949,0.0555718,3.80993
7,1026,0,0,1.55121,0.187111,4.74313
7,1026,1,1,1.73069,2.6103,7.50846
7,1026,2,2,3.18676,0.352377,8.70268
7,1026,3,3,6.38725,0.875654,2.65766
7,1026,4,4,0.0251661,0.679299,3.90243
7,1026,5,5,1.06961,0.752655,2.92995
7,1026,6,6,6.14645,2.11461,11.0443
7,1026,7,7,1.96395,0.616198,6.77286
7,1026,8,8,0.381417,1.12035,0.274132
7,1026,9,9,3.3313,1.29894,1.48625
7,1026,10,10,0.558531,0.54049,2.29626
7,1026,11,11,0.315701,0.52659,5.12286
7,1026,12,12,1.58835,0.150551,8.5725
7,1026,13,13,0.89319,0.30609,2.1115
7,1026,14,14,7.73461,2.07915,0.111016
7,1026,15,15,0.0598849,0.0836895,8.76746
7,1026,16,16,3.43188,1.47486,6.76461
7,1026,17,17,6.27018,0.342032,9.78638
7,1026,18,18,0.552285,0.00822576,10.1448
7,1026,19,19,0.726005,0.0197372,7.68819
7,1026,20,20,0.553662,0.160455,3.15742
7,1026,21,21,1.71614,2.31224,7.17048
7,1026,22,22,4.07478,0.906912,7.27389
7,1026,23,23,1.05867,0.725117,7.02627
7,1026,24,24,8.05173,0.0352861,2.07681
7,1026,25,25,0.371977,0.116685,10.1719
7,1026,26,26,0.886958,0.941513,8.51059
7,1026,27,27,0.420981,2.48438,7.92291
7,1026,28,28,1.11544,2.72871,5.13452
7,1026,29,29,1.92776,1.65205,0.00680723
7,1026,30,30,0.708794,0.679632,0.293878
7,1026,31,31,0.078755,2.5198,0.105612
7,1026,32,32,2.92902,1.44259,1.4362
7,1026,33,33,0.608723,0.262676,4.0549
7,1026,34,34,1.15566,0.600645,5.38511
7,1026,35,35,2.78766,1.58195,4.27549
7,1026,36,36,2.28152,2.68408,5.47568
7,1026,37,37,1.22357,0.00210307,4.58859
7,1026,38,38,1.58584,0.00253409,9.66089
7,1026,39,39,0.122022,0.000469479,1.00549
7,1026,40,40,1.48187,2.41491,0.153697
7,1026,41,41,2.21708,0.554767,6.07836
7,1026,42,42,0.951679,0.0330648,4.64787
7,1026,43,43,2.87757,1.64325,9.2455
7,1026,44,44,1.22413,0.347596,7.85449
7,1026,45,45,0.670383,0.410458,5.00832
7,1026,46,46,1.75171,0.00317118,3.33406
7,1026,47,47,1.81681,0.95126,11.8059
7,1026,48,48,1.02287,0.790301,4.85486
7,1026,BASE,BASE,0.0321949,0.0555718,3.80993
8,1126,0,0,1.55121,0.187111,4.74313
8,1126,1,1,1.73069,2.6103,7.50846
8,1126,2,2,3.18676,0.352377,8.70268
8,1126,3,3,6.38725,0.875654,2.65766
8,1126,4,4,0.0251661,0.679299,3.90243
8,1126,5,5,1.06961,0.752655,2.92995
8,1126,6,6,6.14645,2.11461,11.0443
8,1126,7,7,1.96395,0.616198,6.77286
8,1126,8,8,0.381417,1.12035,0.274132
8,1126,9,9,3.3313,1.29894,1.48625
8,1126,10,10,0.558531,0.54049,2.29626
8,1126,11,11,0.315701,0.52659,5.12286
8,1126,12,12,1.58835,0.150551,8.5725
8,1126,13,13,0.89319,0.30609,2.1115
8,1126,14,14,7.73461,2.07915,0.111016
8,1126,15,15,0.0598849,0.0836895,8.76746
8,1126,16,16,3.43188,1.47486,6.76461
8,1126,17,17,6.27018,0.342032,9.78638
8,1126,18,18,0.552285,0.00822576,10.1448
8,1126,19,19,0.726005,0.0197372,7.68819
8,1126,20,20,0.553662,0.160455,3.15742
8,1126,21,21,1.71614,2.31224,7.17048
8,1126,22,22,4.07478,0.906912,7.27389
8,1126,23,23,1.05867,0.725117,7.02627
8,1126,24,24,8.05173,0.0352861,2.07681
8,1126,25,25,0.371977,0.116685,10.1719
8,1126,26,26,0.886958,0.941513,8.51059
8,1126,27,27,0.420981,2.48438,7.92291
8,1126,28,28,1.11544,2.72871,5.13452
8,1126,29,29,1.92776,1.65205,0.00680723
8,1126,30,30,0.708794,0.679632,0.293878
8,1126,31,31,0.078755,2.5198,0.105612
8,1126,32,32,2.92902,1.44259,1.4362
8,1126,33,33,0.608723,0.262676,4.0549
8,1126,34,34,1.15566,0.600645,5.38511
8,1126,35,35,2.78766,1.58195,4.27549
8,1126,36,36,2.28152,2.68408,5.47568
8,1126,37,37,1.22357,0.00210307,4.58859
8,1126,38,38,1.58584,0.00253409,9.66089
8,1126,39,39,0.122022,0.000469479,1.00549
8,1126,40,40,1.48187,2.41491,0.153697
8,1126,41,41,2.21708,0.554767,6.07836
8,1126,42,42,0.951679,0.0330648,4.64787
8,1126,43,43,2.87757,1.64325,9.2455
8,1126,44,44,1.22413,0.347596,7.85449
8,1126,45,45,0.670383,0.410458,5.00832
8,1126,46,46,1.75171,0.00317118,3.33406
8,1126,47,47,1.81681,0.95126,11.8059
8,1126,48,48,1.02287,0.790301,4.85486
8,1126,BASE,BASE,0.0321949,0.0555718,3.80993
9,1226,0,0,1.55121,0.187111,4.74313
9,1226,1,1,1.73069,2.6103,7.50846
9,1226,2,2,3.18676,0.352377,8.70268
9,1226,3,3,6.38725,0.875654,2.65766
9,1226,4,4,0.0251661,0.679299,3.90243
9,1226,5,5,1.06961,0.752655,2.92995
9,1226,6,6,6.14645,2.11461,11.0443
9,1226,7,7,1.96395,0.616198,6.77286
9,1226,8,8,0.381417,1.12035,0.274132
9,1226,9,9,3.3313,1.29894,1.48625
9,1226,10,10,0.558531,0.54049,2.29626
9,1226,11,11,0.315701,0.52659,5.12286
9,1226,12,12,1.58835,0.150551,8.5725
9,1226,13,13,0.89319,0.30609,2.1115
9,1226,14,14,7.73461,2.07915,0.111016
9,1226,15,15,0.0598849,0.0836895,8.76746
9,1226,16,16,3.43188,1.47486,6.76461
9,1226,17,17,6.27018,0.342032,9.78638
9,1226,18,18,0.552285,0.00822576,10.1448
9,1226,19,19,0.726005,0.0197372,7.68819
9,1226,20,20,0.553662,0.160455,3.15742
9,1226,21,21,1.71614,2.31224,7.17048
9,1226,22,22,4.07478,0.906912,7.27389
9,1226,23,23,1.05867,0.725117,7.02627
9,1226,24,24,8.05173,0.0352861,2.07681
9,1226,25,25,0.371977,0.116685,10.1719
9,1226,26,26,0.886958,0.941513,8.51059
9,1226,27,27,0.420981,2.48438,7.92291
9,1226,28,28,1.11544,2.72871,5.13452
9,1226,29,29,1.92776,1.65205,0.00680723
9,1226,30,30,0.708794,0.679632,0.293878
9,1226,31,31,0.078755,2.5198,0.105612
